Date,Year,Month,Day,Start Time,End Time,Duration,MaxPfu,Region,Location,Flare Maximum (UTC),Type IIRadio Emission,Type IV,Linear Speed,Imagery/Misc
9/2/1990,1990,9,2,20:00,10:50,14:50,15,5988,S04W37,"M4/2N  
        03/28 0750",No,Yes,N/A,N/A
8/1/1990,1990,8,1,22:20,13:55,15:35,19,6007,N23E82,"X1/1N  
        04/03 1725",Yes,No,N/A,N/A
1/1/1990,1990,1,1,21:20,21:20,0:00,13,6007,N22W04,"M1/1N  
        04/10 1214",No,Yes,N/A,N/A
7/1/1990,1990,7,1,16:00,22:00,6:00,12,6022,N32E57,"X1/2B  
        04/15 0300",Yes,Yes,N/A,N/A
8/2/1990,1990,8,2,1:05,17:35,16:30,149,6038,N18W38,"C2/SF  
        04/28 0026",Yes,No,N/A,N/A
2/2/1990,1990,2,2,23:55,3:00,3:05,409,6063,N35W36,"X5/2B  
        05/21 2218",No,Yes,N/A,N/A
5/2/1990,1990,5,2,21:25,11:50,14:25,177,6063,N33W78,"X9/1B  
        05/24 2050",Yes,Yes,N/A,N/A
7/2/1990,1990,7,2,21:10,12:00,14:50,88,6063,N33W90,"X1/N/A  
        05/26 2057",No,Yes,N/A,N/A
9/2/1990,1990,9,2,6:45,10:00,3:15,45,6063,N33W90,"C1/N/A  
        05/28 0433",No,Yes,N/A,N/A
2/1/1990,1990,2,1,11:40,17:00,5:20,79,6089,N10W33,"M6/2B  
        06/12 0540",No,Yes,N/A,N/A
6/2/1990,1990,6,2,11:00,23:15,12:15,20,6174,S15E55,"M2/2N  
        07/25 2333",No,Yes,N/A,N/A
1/1/1990,1990,1,1,20:00,20:45,0:45,227,6180,N20E45,"M4/2B  
        07/30 0736",Yes,Yes,N/A,N/A
1/3/1991,1991,1,3,11:30,16:20,4:50,242,6469,S17W35,"X1/2B  
        01/31 0229",Yes,Yes,N/A,N/A
5/2/1991,1991,5,2,12:00,13:50,1:50,12,6497,S16W80,"X1/2N  
        02/25 0818",Yes,Yes,N/A,N/A
4/2/1991,1991,4,2,10:00,11:00,1:00,"43,500",6555,S26E28,"X9/3B  
        03/22 2246",Yes,No,N/A,N/A
12/3/1990,1991,0,3,21:20,9:00,11:40,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/1/1991,1991,4,1,8:15,10:00,1:45,52,6562,N14W00,"M6/3B  
        04/02 2326",No,Yes,N/A,N/A
3/1/1991,1991,3,1,6:00,9:05,3:05,358,6615,S10W90,"M8/N/A  
        05/13 0142",Yes,Yes,N/A,N/A
1/1/1991,1991,1,1,11:50,2:00,14:10,22,6654,N05E38,"X1/2B  
        05/29 2344",No,Yes,N/A,N/A
7/1/1991,1991,7,1,10:00,16:00,6:00,224,6659,N30E70,"X12/3B  
        06/04 0352",Yes,Yes,N/A,N/A
1/1/1991,1991,1,1,1:00,14:20,13:20,"3,000",6659,N31W17,"X12/3B  
        06/11 0209",Yes,Yes,N/A,N/A
5/1/1991,1991,5,1,8:35,19:55,11:20,"1,400",6659,N33W69,"X12/3B  
        06/15 0821",N/A,N/A,N/A,N/A
2/1/1991,1991,2,1,5:55,10:10,4:15,106,6703,N30E90,"M6/N/A 06/28  
        0625",Yes,Yes,N/A,N/A
8/1/1991,1991,8,1,4:55,16:50,11:55,"2,310",6703,N26E03,"X1/2B  
        07/07 0222",Yes,No,N/A,N/A
1/1/1991,1991,1,1,11:00,21:00,10:00,30,6718,S22E34,"M3/2N  
        07/10 1227",Yes,Yes,N/A,N/A
2/1/1991,1991,2,1,22:55,6:50,7:55,17,6703,N22W51,"M7/3B  
        07/11 1037",Yes,No,N/A,N/A
7/2/1991,1991,7,2,17:30,18:30,1:00,236,6805,N24E77,"X2/2B  
        08/25 0113",No,Yes,N/A,N/A
1/1/1991,1991,1,1,17:00,18:10,1:10,12,6853,S21E32,"M7/4B  
        09/29 1533",No,Yes,N/A,N/A
8/2/1991,1991,8,2,13:00,14:40,1:40,39,6891,S13E15,"X6/3B  
        10/27 0547",Yes,Yes,N/A,N/A
12/3/1990,1991,0,3,7:45,9:00,1:15,94,6891,S08W25,"X2/3B  
        10/30 0632",Yes,Yes,N/A,N/A
7/1/1992,1992,7,1,6:45,11:15,4:30,77,7042,S13W10,"M4/2B  
        02/06 1047",No,Yes,N/A,N/A
6/1/1992,1992,6,1,11:00,9:00,22:00,10,7100,S14E29,"M7/3B  
        03/15 0153",Yes,Yes,N/A,N/A
9/1/1992,1992,9,1,22:00,21:00,23:00,"4,650",7154,S26E08,"M7/4B  
        05/08 1545",No,Yes,N/A,N/A
6/2/1992,1992,6,2,20:45,13:50,17:05,389,7205,N09W67,"X3/2B  
        06/25 2013",No,Yes,N/A,N/A
9/2/1992,1992,9,2,23:00,23:50,0:50,24,7205,N11W90,"X1/SF  
        06/28 1400",Yes,No,N/A,N/A
6/1/1992,1992,6,1,11:45,12:10,0:25,14,7248,S09E68,"M4/1N  
        08/03 0706",No,No,N/A,N/A
1/3/1992,1992,1,3,19:20,23:00,3:40,"2,680",7321,S22W61,"X1/2B  
        10/30 1815",No,Yes,N/A,N/A
2/1/1992,1992,2,1,3:05,9:00,5:55,"1,060",7321,S23W90,"X9/2B  
        11/02 0307",Yes,Yes,N/A,N/A
4/1/1993,1993,4,1,14:55,16:15,1:20,17,7434,S14W56,"C8/2N  
        03/04 1239",No,Yes,N/A,N/A
3/1/1993,1993,3,1,20:10,15:50,19:40,43,7440,S00W51,"M7/3B  
        03/12 1815",Yes,Yes,N/A,N/A
1/2/1994,1994,1,2,3:05,9:00,5:55,"10,200",7671,N09W02,"M4/3B  
        02/20 0141",Yes,Yes,N/A,N/A
12/2/1993,1994,0,2,6:00,10:00,4:00,35,7790,N12W24,"M3/1F  
        10/19 2127",Yes,Yes,N/A,N/A
